季度,税收收入合计
2005年第1-2季度,15149.73
2005年第1-3季度,21855.35
2005年第1季度,7249.16
2006年第1-2季度,18484.8
2006年第1-3季度,26927.8
2006年第1季度,8626.32
2007年第1-2季度,23534.81
2007年第1-3季度,34973.95
2007年第1-4季度,45621.97
2007年第1季度,10717.46
2008年第1-2季度,31425.75
2008年第1-3季度,44093.12
2008年第1-4季度,54223.79
2008年第1季度,14519.68
2009年第1-2季度,29530.07
2009年第1-3季度,45057.56
2009年第1-4季度,59521.59
2009年第1季度,13023.58
2010年第1-2季度,38611.53
2010年第1-3季度,55957.37
2010年第1-4季度,73202.0
2010年第1季度,17702.55
2011年第1-2季度,50028.43
2011年第1-3季度,71292.18
2011年第1-4季度,89720.31
2011年第1季度,23438.85
2012年第1-2季度,54931.63
2012年第1-3季度,77410.08
2012年第1-4季度,100600.88
2012年第1季度,25857.81
2013年第1-2季度,59260.61
2013年第1-3季度,84412.11
2013年第1-4季度,110497.0
2013年第1季度,27399.2
2014年第1-2季度,64268.74
2014年第1-3季度,90695.17
2014年第1-4季度,119158.0
2014年第1季度,30187.83
2015年第1-2季度,66506.6
2015年第1-3季度,94631.48
2015年第1-4季度,124892.0
2015年第1季度,30563.3
2016年第1-2季度,72236.0
2016年第1-3季度,100881.0
2016年第1-4季度,130354.0
2016年第1季度,32954.0
2017年第1-2季度,80074.0
2017年第1-3季度,113101.0
2017年第1-4季度,144360.0
2017年第1季度,37793.0
2018年第1-2季度,91629.0
2018年第1-3季度,127486.0
2018年第1-4季度,156401.0
2018年第1季度,44332.0
2019年第1-2季度,92424.0
2019年第1-3季度,126970.0
2019年第1-4季度,157992.0
2019年第1季度,46706.0
2020年第1-2季度,81990.0
2020年第1-3季度,118876.0
2020年第1-4季度,154310.0
2020年第1季度,39029.0
2021年第1-2季度,100461.0
2021年第1-3季度,140702.0
2021年第1-4季度,172731.0
2021年第1季度,48723.0
2022年第1-2季度,85564.0
2022年第1-3季度,124365.0
2022年第1-4季度,166614.0
2022年第1季度,52452.0
2023年第1-2季度,99661.0
2023年第1-3季度,139105.0
2023年第1-4季度,181129.0
2023年第1季度,51707.0
2024年第1-2季度,94080.0
2024年第1-3季度,131715.0
2024年第1-4季度,174972.0
2024年第1季度,49172.0
2025年第1-2季度,92915.0
2025年第1季度,47450.0
