日期,PPI年率(%)
2008-01-01,5.4
2008-02-01,6.1
2008-03-01,6.6
2008-04-01,8.0
2008-05-01,8.1
2008-06-01,8.2
2008-07-01,8.8
2008-08-01,10.0
2008-09-01,10.1
2008-10-01,9.1
2008-11-01,6.6
2008-12-01,2.0
2009-01-01,-1.1
2009-02-01,-3.4
2009-03-01,-4.5
2009-04-01,-6.0
2009-05-01,-6.6
2009-06-01,-7.2
2009-07-01,-7.8
2009-08-01,-8.2
2009-09-01,-7.9
2009-10-01,-7.0
2009-11-01,-5.8
2009-12-01,-2.1
2010-01-01,1.7
2010-02-01,4.3
2010-03-01,5.4
2010-04-01,5.9
2010-05-01,6.8
2010-06-01,7.1
2010-07-01,6.4
2010-08-01,4.8
2010-09-01,4.3
2010-10-01,4.3
2010-11-01,5.0
2010-12-11,6.1
2011-01-20,5.9
2011-02-15,6.6
2011-03-11,7.2
2011-04-15,7.3
2011-05-11,6.8
2011-06-14,6.8
2011-07-09,7.1
2011-08-09,7.5
2011-09-09,7.3
2011-10-14,6.5
2011-11-09,5.0
2011-12-09,2.7
2012-01-12,1.7
2012-02-09,0.7
2012-03-09,0.0
2012-04-09,-0.3
2012-05-11,-0.7
2012-06-09,-1.4
2012-07-09,-2.1
2012-08-09,-2.9
2012-09-09,-3.5
2012-10-15,-3.6
2012-11-09,-2.8
2012-12-09,-2.2
2013-01-11,-1.9
2013-02-08,-1.6
2013-03-09,-1.6
2013-04-09,-1.9
2013-05-09,-2.6
2013-06-09,-2.9
2013-07-09,-2.7
2013-08-09,-2.3
2013-09-09,-1.6
2013-10-14,-1.3
2013-11-09,-1.5
2013-12-09,-1.4
2014-01-09,-1.4
2014-02-14,-1.6
2014-03-09,-2.0
2014-04-11,-2.3
2014-05-09,-2.0
2014-06-10,-1.4
2014-07-09,-1.1
2014-08-09,-0.9
2014-09-11,-1.2
2014-10-15,-1.8
2014-11-10,-2.2
2014-12-10,-2.7
2015-01-09,-3.3
2015-02-10,-4.3
2015-03-10,-4.8
2015-04-10,-4.6
2015-05-09,-4.6
2015-06-09,-4.6
2015-07-09,-4.8
2015-08-09,-5.4
2015-09-10,-5.9
2015-10-14,-5.9
2015-11-10,-5.9
2015-12-09,-5.9
2016-01-09,-5.9
2016-02-18,-5.3
2016-03-10,-4.9
2016-04-11,-4.3
2016-05-10,-3.4
2016-06-09,-2.8
2016-07-10,-2.6
2016-08-09,-1.7
2016-09-09,-0.8
2016-10-14,0.1
2016-11-09,1.2
2016-12-09,3.3
2017-01-10,5.5
2017-02-14,6.9
2017-03-09,7.8
2017-04-12,7.6
2017-05-10,6.4
2017-06-09,5.5
2017-07-10,5.5
2017-08-09,5.5
2017-09-09,6.3
2017-10-16,6.9
2017-11-09,6.9
2017-12-09,5.8
2018-01-10,4.9
2018-02-09,4.3
2018-03-09,3.7
2018-04-11,3.1
2018-05-10,3.4
2018-06-09,4.1
2018-07-10,4.7
2018-08-09,4.6
2018-09-10,4.1
2018-10-16,3.6
2018-11-09,3.3
2018-12-09,2.7
2019-01-10,0.9
2019-02-15,0.1
2019-03-09,0.1
2019-04-11,0.4
2019-05-09,0.9
2019-06-12,0.6
2019-07-10,0.0
2019-08-09,-0.3
2019-09-10,-0.8
2019-10-15,-1.2
2019-11-09,-1.6
2019-12-10,-1.4
2020-01-09,-0.5
2020-02-10,0.1
2020-03-10,-0.4
2020-04-10,-1.5
2020-05-12,-3.1
2020-06-10,-3.7
2020-07-09,-3.0
2020-08-10,-2.4
2020-09-09,-2.0
2020-10-15,-2.1
2020-11-10,-2.1
2020-12-09,-1.5
2021-01-11,-0.4
2021-02-10,0.3
2021-03-10,1.7
2021-04-09,4.4
2021-05-11,6.8
2021-06-09,9.0
2021-07-09,8.8
2021-08-09,9.0
2021-09-09,9.5
2021-10-14,10.7
2021-11-10,13.5
2021-12-09,12.9
2022-01-12,10.3
2022-02-16,9.1
2022-03-09,8.8
2022-04-11,8.3
2022-05-11,8.0
2022-06-10,6.4
2022-07-09,6.1
2022-08-10,4.2
2022-09-09,2.3
2022-10-14,0.9
2022-11-09,-1.3
2022-12-09,-1.3
2023-01-12,-0.7
2023-02-10,-0.8
2023-03-09,-1.4
2023-04-11,-2.5
2023-05-11,-3.6
2023-06-09,-4.6
2023-07-10,-5.4
2023-08-09,-4.4
2023-09-09,-3.0
2023-10-13,-2.5
2023-11-09,-2.6
2023-12-09,-3.0
2024-01-12,-2.7
2024-02-08,-2.5
2024-03-09,-2.7
2024-04-11,-2.8
2024-05-11,-2.5
2024-06-12,-1.4
2024-07-10,-0.8
2024-08-09,-0.8
2024-09-09,-1.8
2024-10-13,-2.8
2024-11-09,-2.9
2024-12-09,-2.5
2025-01-09,-2.3
2025-02-09,-2.3
2025-03-09,-2.2
2025-04-10,-2.5
2025-05-10,-2.7
2025-06-09,-3.3
2025-07-09,-3.6
2025-08-09,-3.6
